outliers,auc,trials,sigma
0,0.857907683913852,4,1e-05
0,0.8579600735832527,5,1e-05
0,0.8579247731767115,6,1e-05
0,0.8579329596805465,7,1e-05
0,0.8579029643386645,8,1e-05
0,0.8579474132141857,9,1e-05
25,0.8579479164429924,0,1e-05
25,0.8579145695752034,1,1e-05
25,0.8579575868517098,2,1e-05
25,0.8579123667956245,3,1e-05
25,0.857899700392535,4,1e-05
25,0.8579156206838691,5,1e-05
25,0.8579114081418504,6,1e-05
25,0.8579445233738584,7,1e-05
25,0.8579568499134649,8,1e-05
25,0.8579246364037256,9,1e-05
50,0.8578599322914482,0,1e-05
50,0.8579529594347183,1,1e-05
50,0.8578776711424291,2,1e-05
50,0.8579487100697121,3,1e-05
50,0.8579073637361619,4,1e-05
50,0.8579112665432269,5,1e-05
50,0.8579607700209813,6,1e-05
50,0.8579431679919792,7,1e-05
50,0.8578753317208875,8,1e-05
50,0.8578886357902269,9,1e-05
75,0.8578787013222686,0,1e-05
75,0.8578703560684323,1,1e-05
75,0.8579242081071183,2,1e-05
75,0.8579315730727943,3,1e-05
75,0.8578768559393393,4,1e-05
75,0.8579711003546735,5,1e-05
75,0.8579243904247928,6,1e-05
75,0.858000769822476,7,1e-05
75,0.8579942373545391,8,1e-05
75,0.8579559614339417,9,1e-05
100,0.8579595407936861,0,1e-05
100,0.857855082269965,1,1e-05
100,0.8579188026473349,2,1e-05
100,0.721390959611191,3,1e-05
100,0.8578620963091138,4,1e-05
100,0.17465564770379818,5,1e-05
100,0.8578940378794934,6,1e-05
100,0.8579303002540797,7,1e-05
100,0.8578965361520839,8,1e-05
100,0.8579527188720784,9,1e-05
125,0.857960918911648,0,1e-05
125,0.16309025357311974,1,1e-05
125,0.14974467277377443,2,1e-05
125,0.15208306435697447,3,1e-05
125,0.15160059343009685,4,1e-05
125,0.15119126888862236,5,1e-05
125,0.14939304461713035,6,1e-05
125,0.14992267769449463,7,1e-05
125,0.1498766905123276,8,1e-05
125,0.15237319092666987,9,1e-05
150,0.1500697239492807,0,1e-05
150,0.15077717750736402,1,1e-05
150,0.14954921064266896,2,1e-05
150,0.16013629505861576,3,1e-05
150,0.8578756657194058,4,1e-05
150,0.1502408393395008,5,1e-05
150,0.15195616720278965,6,1e-05
150,0.1506188608401845,7,1e-05
150,0.1502598991097338,8,1e-05
150,0.15287581763797062,9,1e-05
175,0.15043681659807653,0,1e-05
175,0.15009225490038966,1,1e-05
175,0.15042990898033792,2,1e-05
175,0.15032112201419337,3,1e-05
175,0.14956616222101732,4,1e-05
175,0.149474575926586,5,1e-05
175,0.15013662659358323,6,1e-05
175,0.18965983918208837,7,1e-05
175,0.14979522223576436,8,1e-05
175,0.1499954489731256,9,1e-05
200,0.14954937658398804,0,1e-05
200,0.1493402996365004,1,1e-05
200,0.14964918223407905,2,1e-05
200,0.14989601875019432,3,1e-05
200,0.14963659669423035,4,1e-05
200,0.14949535801574507,5,1e-05
200,0.1495452684300142,6,1e-05
200,0.14950531121171712,7,1e-05
200,0.14971291018181712,8,1e-05
200,0.1499138357856003,9,1e-05
225,0.14965799237592226,0,1e-05
225,0.14960190477835408,1,1e-05
225,0.1493074408757997,2,1e-05
225,0.14931600957345323,3,1e-05
225,0.1493904776763378,4,1e-05
225,0.1494181628497821,5,1e-05
225,0.14937359193765823,6,1e-05
225,0.14956078720289834,7,1e-05
225,0.14951446548329136,8,1e-05
225,0.1492986946722499,9,1e-05
250,0.14932048805916545,0,1e-05
250,0.14936359047885983,1,1e-05
